cod_municipio;y_proporcao_esgoto;x1_alfabetizacao;x2_densidade;x3_agua;x4_lixo;x5_metropolitana
3529500;0,938228941684665;0,9481;31,56;0,877753779697624;0,968034557235421;0
3529609;0,811703360370799;0,9434;20,04;0,816917728852839;0,944959443800695;0
3529658;0,837146702557201;0,8896;13,13;0,831763122476447;0,877523553162853;0
3529708;0,940039226674138;0,9260;23,68;0,871532642196694;0,963295040627627;0
3529807;0,951425809569840;0,9421;52,66;0,958192363460609;0,986950217496375;0
3529906;0,580777096114519;0,9227;18,53;0,622261174408414;0,869558866491382;0
3530003;0,766693483507643;0,9457;14,42;0,747385358004827;0,917135961383749;0
3530102;0,827404479578393;0,9473;30,49;0,856719367588933;0,942028985507246;0
3530201;0,581345965370794;0,9182;12,85;0,636229990199281;0,655668082326037;0
3530300;0,962133287382070;0,9723;260,40;0,964158014905441;0,991211820962392;0
3530409;0,686809994189425;0,9529;28,11;0,871005229517722;0,906449738524114;0
3530508;0,932458697764820;0,9646;79,14;0,930596047942987;0,977081308713962;0
3530607;0,814201004455143;0,9709;633,65;0,906328571518592;0,989306396627450;1
3530706;0,963103070175439;0,9724;189,06;0,972441520467836;0,993987573099415;0
3530805;0,926557183015239;0,9699;185,97;0,948128421364107;0,978665483059624;0
3530904;0,852272727272727;0,9293;27,84;0,862012987012987;0,980519480519481;0
3531001;0,914893617021277;0,9422;18,56;0,912390488110138;0,956195244055069;0
3531100;0,861208974596699;0,9608;433,97;0,951696643797515;0,988874466901539;0
